,Unnamed: 0,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
73,73,0.0,1,3151.463413238525,-0.00286102294921875,,20,,32,524288,1,,3C295,53d09m56.88s,14h11m08.544s,6,1.0737418239999998,58616.45045138889,0.0,spliced_blc4041424344454647_guppi_58616_38919_3C295_0140.gpuspec.0002.fil
74,74,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d30m25.2s,13h31m08.664s,6,0.0003495253333333333,58734.93311342593,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_80621_3C286_0137.gpuspec.0001.fil
75,75,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d30m25.2s,13h31m08.664s,6,1.0737418239999998,58734.93311342593,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_80621_3C286_0137.gpuspec.0002.fil
76,76,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C147,50d49m19.92s,5h42m48.984s,6,0.000349525333333333,58921.723055555565,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o0414244454647_guppi_58921_62472_3C147_0123.rawspec.0001.fil
77,77,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d12m28.08s,14h11m23.664s,6,0.0003495253333333333,58702.20313657407,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_17551_3C295_0022.gpuspec.0001.fil
78,78,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C147,50d49m19.92s,5h42m48.984s,6,1.073741823999999,58921.723055555565,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o0414244454647_guppi_58921_62472_3C147_0123.rawspec.0002.fil
79,79,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d12m28.08s,14h11m23.664s,6,1.0737418239999998,58702.20313657407,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_17551_3C295_0022.gpuspec.0002.fil
80,80,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d50m58.56s,5h42m37.512s,6,18.253611008,58779.15074074074,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_13024_3C147_0007.gpuspec.0000.fil
81,81,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d50m58.56s,5h42m37.512s,6,1.0737418239999998,58779.15074074074,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_13024_3C147_0007.gpuspec.0002.fil
82,82,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58570.73842592593,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58570_63800_PSR_B0355+54_0028.gpuspec.0001.fil
83,83,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,1.0737418239999998,58570.73842592593,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58570_63800_PSR_B0355+54_0028.gpuspec.0002.fil
84,84,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58692.77783564816,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_67205_PSR_B0355+54_0048.gpuspec.0000.fil
85,85,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d50m58.56s,5h42m37.512s,6,0.0003495253333333333,58779.15074074074,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_13024_3C147_0007.gpuspec.8.0001.fil
86,86,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58616.45375,0.0,spliced_blc4041424344454647_guppi_58616_39204_PSR_B0355+54_0141.gpuspec.0000.fil
87,87,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58570.73842592593,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58570_63800_PSR_B0355+54_0028.gpuspec.8.0001.fil
88,88,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,18.253611008,58642.03603009259,0.0,spliced_blc30313233343536o7o0414243444546o7o0515253545556o7o061626364656667_guppi_58642_03113_PSR_B1133+16_0015.gpuspec.0000.fil
89,89,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d30m33.12s,13h31m08.256s,6,18.253611008,58734.934618055566,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_80751_3C286_0138.gpuspec.0000.fil
90,90,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58616.45375,0.0,spliced_blc4041424344454647_guppi_58616_39204_PSR_B0355+54_0141.gpuspec.0001.fil
