,Unnamed: 0,Unnamed: 0.1,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
258,258,258,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B0355+54,54d13m13.08s,3h58m53.832s,6,1.0737418239999998,58702.257002314815,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_22205_PSR_B0355+54_0041.gpuspec.0002.fil
257,257,257,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B0355+54,54d13m13.08s,3h58m53.832s,6,0.0003495253333333333,58702.257002314815,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_22205_PSR_B0355+54_0041.gpuspec.0001.fil
263,263,263,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B0355+54,54d13m13.08s,3h58m53.832s,6,0.0003495253333333333,58702.257002314815,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_22205_PSR_B0355+54_0041.gpuspec.8.0001.fil
224,224,224,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B0355+54,54d13m13.08s,3h58m53.832s,6,18.253611008,58702.257002314815,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_22205_PSR_B0355+54_0041.gpuspec.0000.fil
276,276,276,0.0,1,2251.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,DIAG_PSR_B2016+28,10d59m29.04s,20h18m03.864s,6,18.253611008,58701.17215277777,0.0,spliced_blc4041424344454647_guppi_58701_14874_DIAG_PSR_B2016+28_0015.gpuspec.0000.fil
278,278,278,0.0,1,2251.28173828125,-0.3662109375,,20,,32,4096,1,,DIAG_PSR_B2016+28,10d59m29.04s,20h18m03.864s,6,0.0003495253333333333,58701.17215277777,0.0,spliced_blc4041424344454647_guppi_58701_14874_DIAG_PSR_B2016+28_0015.gpuspec.0001.fil
280,280,280,0.0,1,2251.4634132385254,-0.00286102294921875,,20,,32,524288,1,,DIAG_PSR_B2016+28,10d59m29.04s,20h18m03.864s,6,1.0737418239999998,58701.17215277777,0.0,spliced_blc4041424344454647_guppi_58701_14874_DIAG_PSR_B2016+28_0015.gpuspec.0002.fil
281,281,281,0.0,1,2251.28173828125,-0.3662109375,0.0,10,0.0,8,4096,1,,DIAG_PSR_B2016+28,10d59m29.04s,20h18m03.864s,6,0.0003495253333333333,58701.17215277777,0.0,spliced_blc4041424344454647_guppi_58701_14874_DIAG_PSR_B2016+28_0015.gpuspec.8.0001.fil
339,339,339,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B0950+08,7d55m35.76s,9h53m09.336s,6,0.0003495253333333333,58692.90372685184,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_78082_PSR_B0950+08_0087.gpuspec.0001.fil
353,353,353,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B0950+08,7d55m35.76s,9h53m09.336s,6,0.0003495253333333333,58692.90372685184,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_78082_PSR_B0950+08_0087.gpuspec.8.0001.fil
344,344,344,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B0950+08,7d55m35.76s,9h53m09.336s,6,1.0737418239999998,58692.90372685184,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_78082_PSR_B0950+08_0087.gpuspec.0002.fil
311,311,311,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B0950+08,7d55m35.76s,9h53m09.336s,6,18.253611008,58692.90372685184,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58692_78082_PSR_B0950+08_0087.gpuspec.0000.fil
289,289,289,0.0,1,2251.28173828125,-0.3662109375,0.0,10,0.0,8,4096,1,,PSR_B1133+16,15d51m01.8s,11h36m03.096s,6,0.0003495253333333333,58692.83699074074,0.0,spliced_blc4041424344454647_guppi_58692_72316_PSR_B1133+16_0066.gpuspec.8.0001.fil
282,282,282,0.0,1,2251.28173828125,-0.3662109375,,20,,32,4096,1,,PSR_B1133+16,15d51m01.8s,11h36m03.096s,6,0.0003495253333333333,58692.83699074074,0.0,spliced_blc4041424344454647_guppi_58692_72316_PSR_B1133+16_0066.gpuspec.0001.fil
273,273,273,0.0,1,2251.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B1133+16,15d51m01.8s,11h36m03.096s,6,18.253611008,58692.83699074074,0.0,spliced_blc4041424344454647_guppi_58692_72316_PSR_B1133+16_0066.gpuspec.0000.fil
