,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start
144,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,0.0003495253333333333,58733.96974537037,0.0
145,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,3C286,31d29m17.88s,13h31m17.088s,6,0.0003495253333333333,58616.020162037035,0.0
146,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,1.0737418239999998,58733.96974537037,0.0
147,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C286,31d29m17.88s,13h31m17.088s,6,1.0737418239999998,58616.020162037035,0.0
148,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,0.0003495253333333333,58733.96974537037,0.0
149,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d12m30.24s,14h11m27.312s,6,0.0003495253333333333,58642.300983796296,0.0
150,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d12m30.24s,14h11m27.312s,6,1.0737418239999998,58642.300983796296,0.0
151,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d12m09s,14h11m20.688s,6,18.253611007999982,58921.33710648148,0.0
152,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d11m30.84s,14h11m16.224s,6,18.253611008,58702.25371527778,0.0
153,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C196,49d12m48.6s,8h13m42.312s,6,18.253611008,58806.194814814815,0.0
154,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B2021+51,51d54m53.28s,20h22m54.744s,6,18.253611008,58734.9462037037,0.0
155,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,3C286,30d30m48.6s,13h31m06.912s,6,0.0003495253333333333,58743.90497685185,0.0
156,0.0,1,3151.4634132385254,-0.00286102294921875,,20,,32,524288,1,,3C286,30d30m48.6s,13h31m06.912s,6,1.0737418239999998,58743.90497685185,0.0
157,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d50m46.68s,5h42m30.888s,6,18.253611008,58692.78827546296,0.0
